Валют,"АНУ-ын доллар, сарын дундаж","АНУ-ын доллар, сарын эцэст"
2014-01-01,1714.26,1723.22
2014-02-01,1752.18,1752.38
2014-03-01,1772.3,1782.01
2014-04-01,1784.11,1796.19
2014-05-01,1813.08,1821.08
2014-06-01,1824.64,1825.74
2014-07-01,1844.07,1870.92
2014-08-01,1862.17,1811.03
2014-09-01,1835.75,1840.91
2014-10-01,1849.94,1862.36
2014-11-01,1879.77,1895.17
2014-12-01,1883.0,1888.44
2015-01-01,1932.7,1944.78
2015-02-01,1961.75,1974.52
2015-03-01,1986.22,1984.69
2015-04-01,1975.83,1960.41
2015-05-01,1939.28,1907.32
2015-06-01,1903.29,1963.56
2015-07-01,1978.28,1985.06
2015-08-01,1990.48,1991.49
2015-09-01,1993.79,1996.83
2015-10-01,1993.35,1991.67
2015-11-01,1992.9,1994.83
2015-12-01,1995.84,1995.51
2016-01-01,2003.22,2011.38
2016-02-01,2024.3,2032.47
2016-03-01,2046.35,2048.9
2016-04-01,2011.99,2011.84
2016-05-01,2005.96,1988.53
2016-06-01,1964.93,1982.25
2016-07-01,2031.9,2073.09
2016-08-01,2189.05,2219.65
2016-09-01,2243.98,2287.3
2016-10-01,2307.8,2374.21
2016-11-01,2434.32,2466.64
2016-12-01,2482.57,2489.53
2017-01-01,2488.38,2459.44
2017-02-01,2478.29,2470.83
2017-03-01,2459.55,2447.45
2017-04-01,2421.85,2419.42
2017-05-01,2413.06,2397.97
2017-06-01,2367.93,2349.87
2017-07-01,2409.41,2444.95
2017-08-01,2443.53,2430.05
2017-09-01,2454.29,2464.43
2017-10-01,2458.69,2456.17
2017-11-01,2448.86,2441.66
2017-12-01,2433.49,2428.23
2018-01-01,2425.91,2417.71
2018-02-01,2402.9,2394.23
2018-03-01,2395.37,2392.77
2018-04-01,2394.65,2402.86
2018-05-01,2405.19,2409.8
2018-06-01,2432.3,2462.82
2018-07-01,2462.83,2463.25
2018-08-01,2464.12,2472.99
2018-09-01,2503.31,2552.13
2018-10-01,2564.14,2564.44
2018-11-01,2581.88,2627.04
2018-12-01,2637.35,2643.69
2019-01-01,2649.68,2628.7
2019-02-01,2633.37,2635.33
2019-03-01,2632.51,2631.51
2019-04-01,2634.93,2642.78
2019-05-01,2645.16,2649.35
2019-06-01,2654.47,2657.76
2019-07-01,2661.55,2666.0
2019-08-01,2670.54,2672.0
2019-09-01,2669.68,2667.21
2019-10-01,2678.01,2701.17
2019-11-01,2705.26,2715.22
2019-12-01,2727.34,2734.33
2020-01-01,2744.38,2751.57
2020-02-01,2756.52,2762.71
2020-03-01,2769.03,2777.74
2020-04-01,2783.16,2788.91
2020-05-01,2797.25,2805.97
2020-06-01,2816.26,2823.89
2020-07-01,2836.41,2844.7
2020-08-01,2849.11,2852.9
2020-09-01,2854.17,2854.72
2020-10-01,2853.6,2851.99
2020-11-01,2850.04,2849.66
2020-12-01,2849.55,2849.89
2021-01-01,2849.82,2850.12
2021-02-01,2849.73,2849.27
2021-03-01,2849.64,2849.81
