Он сар,Улсын дүн,Хөнгөн,Хүндэвтэр,Хүнд,Онц хүнд
2013-01,2327,1008,1108,175,36
2014-01,2651,1143,1313,161,34
2014-02,4452,1992,2118,284,58
2014-03,6672,3038,3040,480,114
2014-04,9119,4253,4044,656,166
2014-05,11445,5289,5118,816,222
2014-06,13565,6356,5978,971,260
2014-07,15628,7326,6882,1124,296
2014-08,17615,8280,7740,1238,357
2014-09,19773,9324,8686,1355,408
2014-10,22476,10710,9796,1509,461
2014-11,24925,11896,10879,1643,507
2014-12,27318,13057,11951,1781,529
2015-01,2960,1379,1365,175,41
2015-02,5314,2484,2398,348,84
2015-03,7876,3741,3505,507,123
2015-04,10451,5010,4688,599,154
2015-05,12730,6105,5698,738,189
2015-06,14855,7175,6605,867,208
2015-07,17009,8082,7651,1017,259
2015-08,19007,9037,8540,1115,315
2015-09,20976,10074,9316,1227,359
2015-10,23323,11212,10329,1374,408
2015-11,25536,12282,11290,1501,463
2015-12,27757,13487,12127,1628,515
2016-01,2550,1230,1141,124,55
2016-02,4762,2329,2107,232,94
2016-03,7200,3494,3227,341,138
2016-04,9919,4777,4459,500,183
2016-05,12481,6072,5565,617,227
2016-06,14962,7326,6652,724,260
2016-07,16956,8305,7544,811,296
2016-08,19068,9343,8447,939,339
2016-09,21105,10400,9284,1045,376
2016-10,23080,11414,10113,1145,408
2016-11,25325,12547,11057,1277,444
2016-12,27167,13519,11767,1393,488
2017-01,2773,1408,1183,147,35
2017-02,4778,2427,2032,246,73
2017-03,6869,3507,2891,362,109
2017-04,8860,4476,3760,459,165
2017-05,11022,5576,4672,567,207
2017-06,12969,6591,5463,658,257
2017-07,15825,8511,5463,1594,257
2017-08,19496,11052,5463,2724,257
2017-09,23044,13354,5463,3970,257
2017-10,26657,15830,5463,5107,257
2017-11,29576,18030,5146,6154,246
2017-12,32259,20120,5146,6747,246
2018-01,4019,2934,,1085,
2018-02,7368,5428,0,1940,0
2018-03,10753,8044,,2709,
2018-04,14632,10981,,3651,
2018-05,17980,13565,,4415,
2018-06,20042,15158,,4884,
2018-07,22497,17086,,5411,
2018-08,25354,19390,,5964,
2018-09,28550,22019,,6531,
2018-10,31525,24430,,7095,
2018-11,33880,26229,,7651,
2018-12,36220,28095,,8125,
2019-01,3827,3470,,357,
2019-02,7436,5877,,1559,
2019-03,9905,7823,,2082,
2019-04,12932,10217,,2715,
2019-05,15800,12602,,3198,
2019-06,17666,14087,,3579,
2019-07,20435,16267,,4168,
2019-08,23120,18429,,4691,
2019-09,26314,20899,,5415,
2019-10,28599,22763,,5836,
2019-11,30011,23977,,6034,
2019-12,31524,25156,,6368,
2020-01,3474,2773,,701,
2020-02,6745,5484,,1261,
2020-03,8003,6561,,1442,
2020-04,10130,8243,,1887,
2020-05,12165,9929,,2236,
2020-06,13943,11406,,2537,
2020-07,15928,13046,,2882,
2020-08,18000,14733,,3267,
2020-09,19465,16053,,3412,
2020-10,21142,17478,,3664,
2020-11,22506,18703,,3803,
2020-12,23064,19247,,3817,
2021-01,1789,1504,,285,
2021-02,3998,3396,,602,
2021-03,5677,4895,,782,
